experiment,variant,job_key,L,stress,chi,phi_mean,phi_var,cv,topology,topo_params,n_runs,engine_config,elapsed_sec
micro_rule,baseline,"{""L"": 200, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.9, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""baseline""}",200,0.9,0.020000000000000035,0.965,0.00010000000000000018,0.010362694300518144,chain,{},2,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.933
micro_rule,baseline,"{""L"": 200, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.95, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""baseline""}",200,0.95,0.005000000000000009,0.975,2.5000000000000045e-05,0.0051282051282051325,chain,{},2,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.0242
micro_rule,baseline,"{""L"": 200, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 1.0, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""baseline""}",200,1.0,0.031250000000000056,0.9775,0.00015625000000000027,0.01278772378516625,chain,{},2,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.0219
