stress,L,phi,collapse_prob,tau,n_seeds,chi,phi_var,cv,variant,experiment,topology,source,x_scaled,y_scaled
0.9,200,0.965,0.02,,2,0.02,0.0001,0.0103626943005181,baseline,micro_rule,chain,grid,-19.999999999999996,0.965
0.95,200,0.975,0.005,,2,0.005,2.5000000000000045e-05,0.0051282051282051,baseline,micro_rule,chain,grid,-10.000000000000009,0.975
1.0,200,0.9775,0.03125,,2,0.03125,0.00015625,0.0127877237851662,baseline,micro_rule,chain,grid,0.0,0.9775
